"TS","X","Y","Z"
"1615472138171","-1.612","2.825","11.193"
"1615472138174","-0.425","3.122","8.742"
"1615472138252","-0.865","4.185","9.22"
"1615472138332","-0.415","4.309","9.556"
"1615472138410","-0.004","4.52","8.78"
"1615472138489","-0.118","4.788","8.541"
"1615472138568","-0.77","4.942","8.464"
"1615472138650","-0.502","4.558","8.234"
"1615472138728","-0.3","4.386","7.995"
"1615472138807","-0.837","4.74","8.675"
"1615472138885","-1.153","5.104","8.541"
"1615472138964","-0.664","4.76","8.924"
"1615472139043","-0.157","4.587","8.521"
"1615472139123","0.426","4.424","9.039"
"1615472139201","0.628","4.578","9.316"
"1615472139282","0.532","4.463","9.623"
"1615472139362","0.053","4.511","8.991"
"1615472139441","-0.185","4.52","8.339"
"1615472139518","-0.185","3.811","7.142"
"1615472139597","0.11","2.068","7.573"
"1615472139676","0.666","0.057","10.188"
"1615472139756","0.024","-0.124","9.728"
"1615472139845","-0.387","-0.976","11.634"
"1615472139913","0.034","-2.259","12.697"
"1615472139994","-0.339","-0.794","11.011"
"1615472140075","0.005","0.115","9.402"
"1615472140165","-0.08","1.044","9.22"
"1615472140235","0.245","1.446","9.69"
"1615472140312","0.187","2.174","11.222"
"1615472140394","-0.387","1.992","12.467"
"1615472140495","0.005","0.957","10.149"
"1615472140550","-0.454","2.327","7.717"
"1615472140630","-0.099","2.538","8.157"
"1615472140707","0.656","2.068","8.588"
"1615472140784","1.001","2.404","7.401"
"1615472140863","-0.042","3.495","9.163"
"1615472140943","0.024","3.361","10.877"
"1615472141029","0.12","3.342","10.408"
"1615472141107","-0.693","2.432","11.902"
"1615472141184","-0.616","2.145","8.952"
"1615472141267","-1.881","2.231","9.575"
"1615472141339","-2.187","2.317","9.096"
"1615472141418","-2.101","2.815","9.01"
"1615472141497","-1.268","3.333","8.828"
"1615472141575","-1.229","3.438","9.077"
"1615472141655","-0.894","3.38","9.249"
"1615472141734","-1.067","3.629","9.0"
"1615472141819","-0.904","3.687","8.713"
"1615472141894","-0.923","4.003","8.904"
"1615472141974","-0.923","4.051","9.058"
"1615472142052","-1.067","4.185","8.703"
"1615472142131","-1.057","4.137","8.924"
"1615472142209","-0.013","3.677","9.019"
"1615472142288","1.853","2.145","10.092"
"1615472142367","1.806","2.03","10.312"
"1615472142448","1.7","2.337","9.738"
"1615472142525","1.844","2.049","8.684"
"1615472142605","1.509","2.787","9.153"
"1615472142685","1.451","3.151","9.412"
"1615472142766","1.279","3.543","9.604"
"1615472142843","1.087","3.955","9.575"
"1615472142923","1.288","3.898","9.709"
"1615472143002","1.298","3.697","9.201"
"1615472143088","0.302","4.204","9.163"
"1615472143161","-0.636","2.662","11.548"
"1615472143241","-0.176","2.902","7.688"
"1615472143317","-1.095","3.304","7.88"
"1615472143398","-1.833","2.461","10.264"
"1615472143476","-1.469","2.835","9.422"
"1615472143555","-1.0","3.103","8.78"
"1615472143634","-0.971","3.39","9.211"
"1615472143727","-0.616","3.534","9.508"
"1615472143793","-0.109","3.725","9.383"
"1615472143876","0.177","3.821","9.508"
"1615472143951","0.474","3.831","9.92"
"1615472144030","0.091","3.084","10.676"
"1615472144110","-0.042","2.758","8.512"
"1615472144188","0.11","2.72","8.387"
"1615472144270","0.532","2.298","10.169"
"1615472144346","1.221","2.279","9.355"
"1615472144431","1.011","2.289","9.738"
"1615472144506","0.675","2.71","9.249"
"1615472144585","0.398","3.495","8.933"
"1615472144664","0.091","4.08","9.086"
"1615472144743","0.245","4.329","9.364"
"1615472144822","-0.032","4.568","9.738"
"1615472144902","0.216","4.348","9.048"
"1615472144980","-1.584","4.539","9.307"
"1615472145061","-1.0","3.208","9.364"
"1615472145143","-1.641","3.572","7.631"
"1615472145220","-2.273","3.151","9.422"
"1615472145300","-3.068","3.218","9.374"
"1615472145377","-2.005","3.706","8.742"
"1615472145456","-1.411","3.677","9.125"
"1615472145536","-1.258","3.639","9.355"
"1615472145615","-0.894","3.601","9.728"
"1615472145696","-0.09","3.744","8.809"
"1615472145774","-0.406","2.988","10.925"
"1615472145854","0.283","2.729","8.56"
"1615472145931","0.541","2.432","8.924"
"1615472146011","0.915","2.557","9.364"
"1615472146092","1.011","2.413","9.757"
"1615472146168","0.992","2.614","9.048"
"1615472146248","1.039","2.461","9.709"
"1615472146329","0.618","2.26","10.226"
"1615472146423","0.312","2.499","9.881"
"1615472146485","0.149","1.733","9.757"
"1615472146569","-0.559","2.222","8.684"
"1615472146645","-1.66","2.049","10.092"
"1615472146724","-2.13","2.547","8.924"
"1615472146803","-2.359","2.442","9.077"
"1615472146887","-2.245","2.758","9.508"
"1615472146963","-1.9","2.892","9.642"
"1615472147041","-1.411","3.064","9.201"
"1615472147121","-1.316","3.438","8.971"
"1615472147200","-1.162","3.572","8.751"
"1615472147278","-1.258","3.639","8.895"
"1615472147357","-0.904","3.629","9.632"
"1615472147436","0.216","2.835","9.862"
"1615472147515","1.183","2.27","10.236"
"1615472147595","1.614","1.8","10.149"
"1615472147680","1.279","1.8","9.259"
"1615472147759","1.327","2.375","8.397"
"1615472147838","0.944","3.112","9.441"
"1615472147911","1.154","3.62","8.857"
"1615472147991","1.116","3.859","9.757"
"1615472148069","0.915","4.223","9.469"
"1615472148148","0.867","4.233","9.776"
"1615472148227","0.8","4.539","8.837"
"1615472148306","-0.674","2.863","11.701"
"1615472148386","0.312","2.748","7.353"
"1615472148464","-0.722","3.639","8.368"
"1615472148544","-0.894","2.48","9.968"
"1615472148623","-0.214","3.199","8.052"
"1615472148702","0.11","3.725","8.263"
"1615472148781","0.082","4.089","9.651"
"1615472148861","0.158","4.041","9.929"
"1615472148940","0.177","4.376","9.632"
"1615472149019","-0.013","3.486","11.366"
"1615472149098","0.647","2.566","8.761"
"1615472149176","1.279","3.007","7.956"
"1615472149256","1.288","2.672","9.431"
"1615472149335","1.135","2.471","9.537"
"1615472149415","1.164","2.863","8.301"
"1615472149494","0.829","3.649","9.316"
"1615472149574","1.825","3.831","8.77"
"1615472149652","1.308","3.333","10.542"
"1615472149732","1.892","3.553","9.048"
"1615472149810","0.58","2.471","11.605"
"1615472149891","0.264","2.461","9.201"
"1615472149968","-0.588","3.428","8.1"
"1615472150049","0.005","2.796","8.713"
"1615472150128","0.57","3.275","8.665"
"1615472150213","0.331","3.773","9.163"
"1615472150293","0.407","4.06","9.489"
"1615472150373","1.011","3.993","9.632"
"1615472150449","1.921","4.003","9.661"
"1615472150529","2.064","3.898","9.345"
"1615472150607","0.513","3.342","9.249"
"1615472150687","1.451","3.591","8.081"
"1615472150768","0.551","3.984","8.876"
"1615472150848","0.455","3.84","9.077"
"1615472150918","0.235","4.242","7.65"
"1615472150997","0.292","4.549","8.895"
"1615472151076","0.446","4.664","8.933"
"1615472151155","0.723","4.846","8.675"
"1615472151234","0.982","4.961","8.933"
"1615472151314","1.097","4.683","9.134"
"1615472151393","0.58","4.865","8.761"
"1615472151471","-0.042","4.606","9.719"
"1615472151551","-0.224","4.108","9.153"
"1615472151630","-0.846","4.137","8.675"
"1615472151709","-1.21","3.792","8.722"
"1615472151788","-1.957","3.926","8.799"
"1615472151868","-1.498","4.434","8.359"
"1615472151946","-1.009","4.74","7.707"
"1615472152025","-1.383","5.162","8.655"
"1615472152105","-0.406","4.903","9.23"
"1615472152184","-0.071","5.42","8.636"
"1615472152263","-0.549","4.712","10.887"
"1615472152342","0.082","3.811","8.11"
"1615472152421","0.369","3.764","7.937"
"1615472152500","0.13","3.572","9.699"
"1615472152579","0.503","3.151","9.153"
"1615472152659","0.522","3.208","9.316"
"1615472152738","0.426","3.428","8.675"
"1615472152818","-0.31","3.677","9.728"
"1615472152895","-0.291","3.409","10.274"
"1615472152974","-0.789","3.304","9.891"
"1615472153055","-0.454","3.266","8.77"
"1615472153133","-1.641","3.141","8.387"
"1615472153212","-2.264","2.882","9.469"
"1615472153292","-2.58","3.639","7.41"
"1615472153370","-2.733","3.783","9.316"
"1615472153464","-2.225","3.361","9.556"
"1615472153533","-1.68","3.4","8.617"
"1615472153610","-1.335","3.323","8.751"
"1615472153692","-1.478","3.85","9.211"
"1615472153770","-2.005","4.511","9.22"
"1615472153852","-1.536","3.515","9.402"
"1615472153924","-1.0","3.38","8.857"
"1615472154003","-0.118","2.413","11.471"
"1615472154083","1.241","2.442","9.364"
"1615472154161","1.231","1.915","9.958"
"1615472154240","1.729","2.126","8.359"
"1615472154320","1.346","2.902","8.512"
"1615472154399","1.346","3.285","9.067"
"1615472154478","1.547","3.62","9.326"
"1615472154557","2.016","3.649","9.067"
"1615472154638","1.882","3.917","8.397"
"1615472154716","1.528","3.773","9.326"
"1615472154796","1.308","4.003","10.169"
"1615472154873","0.091","4.166","10.82"
"1615472154952","-0.166","2.758","9.872"
"1615472155031","0.091","2.49","8.014"
"1615472155111","-0.664","2.997","8.435"
"1615472155190","0.35","2.088","9.661"
"1615472155269","1.03","2.835","8.713"
"1615472155348","0.733","3.553","9.039"
"1615472155428","0.675","3.668","9.431"
"1615472155507","0.072","3.744","9.929"
"1615472155586","0.12","3.649","10.695"
"1615472155664","0.944","2.193","10.331"
"1615472155744","1.432","2.078","8.924"
"1615472155823","1.691","1.944","8.837"
"1615472155901","1.863","2.049","8.359"
"1615472155980","1.308","1.427","10.015"
"1615472156066","1.327","1.867","9.22"
"1615472156147","1.288","2.509","9.182"
"1615472156227","0.599","3.486","9.891"
"1615472156306","1.413","3.266","9.374"
"1615472156383","1.116","2.959","10.159"
"1615472156461","0.675","3.764","9.757"
"1615472156540","0.752","1.915","10.906"
"1615472156621","0.312","2.614","8.205"
"1615472156700","-0.348","2.317","9.527"
"1615472156780","-1.852","1.408","11.778"
"1615472156856","-1.095","2.049","8.464"
"1615472156937","-0.339","3.218","7.219"
"1615472157017","0.005","3.591","8.397"
"1615472157095","0.225","3.4","9.249"
"1615472157172","-0.272","3.141","9.747"
"1615472157252","-1.986","3.591","9.517"
"1615472157341","-4.237","4.884","8.502"
"1615472157409","-4.945","5.478","7.487"
"1615472157489","-3.001","5.018","7.094"
"1615472157567","-2.072","4.53","7.612"
"1615472157645","-1.948","5.152","6.721"
"1615472157719","-1.565","5.028","8.636"
